ID,Vaccinated,Vaccinated(%),Unvaccinated,Unvaccinated(%),Healthy vaccinated,Healthy vaccinated(%),Healthy unvaccinated,Healthy unvaccinated(%),Infected vaccinated,Infected vaccinated(%),Infected unvaccinated,Infected unvaccinated(%),Herd Immunity,Herd Immunity Current,Herd Immunity Needed,population,Rnull,Rrange,natImmunity,vacImmunity,vaccinated,totInfected
0,100.0,10.0,900.0,90.0,98.85,98.85,890.55,98.95,1.15,1.15,9.45,1.05,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,0.1,0.012
1,200.0,20.0,800.0,80.0,198.05,99.025,790.7,98.84,1.95,0.975,9.3,1.16,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,0.2,0.011
2,300.0,30.0,700.0,70.0,296.8,98.94,691.7,98.81,3.2,1.06,8.3,1.19,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,0.3,0.012
3,400.0,40.0,600.0,60.0,396.65,99.175,594.6,99.105,3.35,0.825,5.4,0.895,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,0.4,0.009
4,500.0,50.0,500.0,50.0,495.25,99.05,495.75,99.15,4.75,0.95,4.25,0.85,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,0.5,0.009
5,600.0,60.0,400.0,40.0,596.05,99.34,396.9,99.245,3.95,0.66,3.1,0.755,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,0.6,0.006
6,700.0,70.0,300.0,30.0,693.85,99.12,297.8,99.27,6.15,0.88,2.2,0.73,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,0.7,0.008
7,800.0,80.0,200.0,20.0,792.8,99.105,197.75,98.875,7.2,0.895,2.25,1.125,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,0.8,0.009
8,900.0,90.0,100.0,10.0,892.4,99.175,99.0,99.0,7.6,0.825,1.0,1.0,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,0.9,0.008
9,1000.0,100.0,0.0,0.0,991.05,99.105,0.0,0.0,8.95,0.895,0.0,0.0,1.0,0.0,10.0,1000.0,1.0,0.0,0.1,0.1,1.0,0.008
10,100.0,10.0,900.0,90.0,99.1,99.1,893.4,99.28,0.9,0.9,6.6,0.72,1.0,0.0,11.0,1000.0,1.0,0.0,0.1,0.2,0.1,0.006
11,200.0,20.0,800.0,80.0,198.8,99.4,793.65,99.22,1.2,0.6,6.35,0.78,1.0,0.0,12.0,1000.0,1.0,0.0,0.1,0.2,0.2,0.006
12,300.0,30.0,700.0,70.0,297.6,99.2,695.05,99.295,2.4,0.8,4.95,0.705,1.0,0.0,13.0,1000.0,1.0,0.0,0.1,0.2,0.3,0.008
13,400.0,40.0,600.0,60.0,397.65,99.425,596.9,99.465,2.35,0.575,3.1,0.535,1.0,0.0,14.0,1000.0,1.0,0.0,0.1,0.2,0.4,0.005
14,500.0,50.0,500.0,50.0,495.6,99.12,495.85,99.17,4.4,0.88,4.15,0.83,1.0,0.0,15.0,1000.0,1.0,0.0,0.1,0.2,0.5,0.01
15,600.0,60.0,400.0,40.0,596.8,99.465,397.5,99.39,3.2,0.535,2.5,0.61,1.0,0.0,16.0,1000.0,1.0,0.0,0.1,0.2,0.6,0.007
16,700.0,70.0,300.0,30.0,695.95,99.42,298.0,99.345,4.05,0.58,2.0,0.655,1.0,0.0,17.0,1000.0,1.0,0.0,0.1,0.2,0.7,0.006
17,800.0,80.0,200.0,20.0,797.15,99.66,199.4,99.7,2.85,0.34,0.6,0.3,1.0,0.0,18.0,1000.0,1.0,0.0,0.1,0.2,0.8,0.003
18,900.0,90.0,100.0,10.0,896.75,99.65,99.45,99.45,3.25,0.35,0.55,0.55,1.0,0.0,19.0,1000.0,1.0,0.0,0.1,0.2,0.9,0.002
19,1000.0,100.0,0.0,0.0,995.7,99.57,0.0,0.0,4.3,0.43,0.0,0.0,1.0,0.0,20.0,1000.0,1.0,0.0,0.1,0.2,1.0,0.003
